,pclass,survived,gender,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
67,1,1,female,30.0,0,0,110152,$86.50 ,B77,S,8,,"London, England"
68,1,1,male,45.0,0,0,PC 17594,$29.70 ,A9,C,7,,"Paris, France"
69,1,1,female,,0,1,113505,$55.00 ,E33,S,6,,"St Leonards-on-Sea, England Ohio"
70,1,0,male,,0,0,112051,$0.00 ,,S,,,"Liverpool, England / Belfast"
71,1,0,male,27.0,1,0,13508,$136.78 ,C89,C,,,"Los Angeles, CA"
72,1,1,female,26.0,1,0,13508,$136.78 ,C89,C,4,,"Los Angeles, CA"
73,1,1,female,22.0,0,0,113781,$151.55 ,,S,11,,
74,1,0,male,,0,0,110465,$52.00 ,A14,S,,,"Stoughton, MA"
75,1,0,male,47.0,0,0,5727,$25.59 ,E58,S,,,"Victoria, BC"
76,1,1,female,39.0,1,1,PC 17756,$83.16 ,E49,C,14,,"Lakewood, NJ"
77,1,0,male,37.0,1,1,PC 17756,$83.16 ,E52,C,,,"Lakewood, NJ"
78,1,1,female,64.0,0,2,PC 17756,$83.16 ,E45,C,14,,"Lakewood, NJ"
79,1,1,female,55.0,2,0,11770,$25.70 ,C101,S,2,,"New York, NY"
80,1,0,male,,0,0,113791,$26.55 ,,S,,,"Roachdale, IN"
81,1,0,male,70.0,1,1,WE/P 5735,$71.00 ,B22,S,,269.0,"Milwaukee, WI"
82,1,1,female,36.0,0,2,WE/P 5735,$71.00 ,B22,S,7,,"Milwaukee, WI"
83,1,1,female,64.0,1,1,112901,$26.55 ,B26,S,7,,"Milwaukee, WI"
84,1,0,male,39.0,1,0,PC 17599,$71.28 ,C85,C,,,"New York, NY"
85,1,1,female,38.0,1,0,PC 17599,$71.28 ,C85,C,4,,"New York, NY"
86,1,1,male,51.0,0,0,113055,$26.55 ,E17,S,5 9,,"Lima, Peru"
87,1,1,male,27.0,0,0,113804,$30.50 ,,S,3,,"Philadelphia, PA"
88,1,1,female,33.0,0,0,113781,$151.55 ,,S,8,,
89,1,0,male,31.0,1,0,F.C. 12750,$52.00 ,B71,S,,,"Montreal, PQ"
90,1,1,female,27.0,1,2,F.C. 12750,$52.00 ,B71,S,3,,"Montreal, PQ"
91,1,1,male,31.0,1,0,17474,$57.00 ,B20,S,3,,"Calgary, AB"
92,1,1,female,17.0,1,0,17474,$57.00 ,B20,S,3,,"Calgary, AB"
93,1,1,male,53.0,1,1,33638,$81.86 ,A34,S,13,,"San Francisco, CA"
94,1,1,male,4.0,0,2,33638,$81.86 ,A34,S,5,,"San Francisco, CA"
95,1,1,female,54.0,1,1,33638,$81.86 ,A34,S,5,,"San Francisco, CA"
96,1,0,male,50.0,1,0,PC 17761,$106.43 ,C86,C,,62.0,"Deephaven, MN / Cedar Rapids, IA"
97,1,1,female,27.0,1,1,PC 17558,$247.52 ,B58 B60,C,6,,"Montreal, PQ"
98,1,1,female,48.0,1,0,PC 17761,$106.43 ,C86,C,2,,"Deephaven, MN / Cedar Rapids, IA"
99,1,1,female,48.0,1,0,11755,$39.60 ,A16,C,1,,London / Paris
100,1,1,male,49.0,1,0,PC 17485,$56.93 ,A20,C,1,,London / Paris
101,1,0,male,39.0,0,0,PC 17580,$29.70 ,A18,C,,133.0,"Philadelphia, PA"
102,1,1,female,23.0,0,1,11767,$83.16 ,C54,C,7,,"Mt Airy, Philadelphia, PA"
103,1,1,female,38.0,0,0,PC 17757,$227.53 ,C45,C,4,,"New York, NY"
104,1,1,female,54.0,1,0,36947,$78.27 ,D20,C,4,,"Brookline, MA"
105,1,0,female,36.0,0,0,PC 17531,$31.68 ,A29,C,,,"New York, NY"
106,1,0,male,,0,0,PC 17483,$221.78 ,C95,S,,,
107,1,1,female,,0,0,PC 17598,$31.68 ,,S,7,,"New York, NY"
108,1,1,female,,0,0,17421,$110.88 ,,C,4,,
109,1,1,male,36.0,0,0,PC 17474,$26.39 ,E25,S,5,,"Brooklyn, NY"
110,1,0,male,30.0,0,0,113051,$27.75 ,C111,C,,,"New York, NY"
111,1,1,female,24.0,3,2,19950,$263.00 ,C23 C25 C27,S,10,,"Winnipeg, MB"
112,1,1,female,28.0,3,2,19950,$263.00 ,C23 C25 C27,S,10,,"Winnipeg, MB"
113,1,1,female,23.0,3,2,19950,$263.00 ,C23 C25 C27,S,10,,"Winnipeg, MB"
114,1,0,male,19.0,3,2,19950,$263.00 ,C23 C25 C27,S,,,"Winnipeg, MB"
115,1,0,male,64.0,1,4,19950,$263.00 ,C23 C25 C27,S,,,"Winnipeg, MB"
116,1,1,female,60.0,1,4,19950,$263.00 ,C23 C25 C27,S,10,,"Winnipeg, MB"
117,1,1,female,30.0,0,0,PC 17485,$56.93 ,E36,C,1,,
118,1,0,male,,0,0,113778,$26.55 ,D34,S,,,"Westcliff-on-Sea, Essex"
119,1,1,male,50.0,2,0,PC 17611,$133.65 ,,S,5,,"New York, NY"
120,1,1,male,43.0,1,0,17765,$27.72 ,D40,C,5,,"New York, NY"
121,1,1,female,,1,0,PC 17611,$133.65 ,,S,5,,"New York, NY"
122,1,1,female,22.0,0,2,13568,$49.50 ,B39,C,5,,"Zurich, Switzerland"
123,1,1,male,60.0,1,1,13567,$79.20 ,B41,C,5,,"Zurich, Switzerland"
124,1,1,female,48.0,1,1,13567,$79.20 ,B41,C,5,,"Zurich, Switzerland"
125,1,0,male,,0,0,112058,$0.00 ,B102,S,,,
126,1,0,male,37.0,1,0,113803,$53.10 ,C123,S,,,"Scituate, MA"
127,1,1,female,35.0,1,0,113803,$53.10 ,C123,S,D,,"Scituate, MA"
128,1,0,male,47.0,0,0,111320,$38.50 ,E63,S,,275.0,"St Anne's-on-Sea, Lancashire"
129,1,1,female,35.0,0,0,113503,$211.50 ,C130,C,4,,
130,1,1,female,22.0,0,1,112378,$59.40 ,,C,7,,"New York, NY"
131,1,1,female,45.0,0,1,112378,$59.40 ,,C,7,,"New York, NY"
132,1,0,male,24.0,0,0,PC 17593,$79.20 ,B86,C,,,
133,1,1,male,49.0,1,0,17453,$89.10 ,C92,C,5,,"Paris, France / New York, NY"
134,1,1,female,,1,0,17453,$89.10 ,C92,C,5,,"Paris, France / New York, NY"
135,1,0,male,71.0,0,0,PC 17754,$34.65 ,A5,C,,,"New York, NY"
136,1,1,male,53.0,0,0,113780,$28.50 ,C51,C,B,,"Washington, DC"
137,1,1,female,19.0,0,0,112053,$30.00 ,B42,S,3,,"Greenwich, CT"
138,1,0,male,38.0,0,1,PC 17582,$153.46 ,C91,S,,147.0,"Winnipeg, MB"
139,1,1,female,58.0,0,1,PC 17582,$153.46 ,C125,S,3,,"Greenwich, CT"
140,1,1,male,23.0,0,1,PC 17759,$63.36 ,D10 D12,C,7,,"New York, NY"
141,1,1,female,45.0,0,1,PC 17759,$63.36 ,D10 D12,C,7,,"New York, NY"
142,1,0,male,46.0,0,0,PC 17593,$79.20 ,B82 B84,C,,,"New York, NY"
143,1,1,male,25.0,1,0,11765,$55.44 ,E50,C,5,,"Brooklyn, NY"
144,1,1,female,25.0,1,0,11765,$55.44 ,E50,C,5,,"Brooklyn, NY"
145,1,1,male,48.0,1,0,PC 17572,$76.73 ,D33,C,3,,"New York, NY"
146,1,1,female,49.0,1,0,PC 17572,$76.73 ,D33,C,3,,"New York, NY"
147,1,0,male,,0,0,113796,$42.40 ,,S,,,
148,1,0,male,45.0,1,0,36973,$83.48 ,C83,S,,,"New York, NY"
149,1,1,female,35.0,1,0,36973,$83.48 ,C83,S,D,,"New York, NY"
150,1,0,male,40.0,0,0,112059,$0.00 ,B94,S,,110.0,
151,1,1,male,27.0,0,0,PC 17572,$76.73 ,D49,C,3,,
152,1,1,male,,0,0,16988,$30.00 ,D45,S,3,,"Kingston, Surrey"
153,1,1,female,24.0,0,0,11767,$83.16 ,C54,C,7,,"New York, NY"
154,1,0,male,55.0,1,1,12749,$93.50 ,B69,S,,307.0,"Montreal, PQ"
155,1,1,female,52.0,1,1,12749,$93.50 ,B69,S,3,,"Montreal, PQ"
156,1,0,male,42.0,0,0,113038,$42.50 ,B11,S,,,London / Middlesex
157,1,0,male,,0,0,17463,$51.86 ,E46,S,,,"Brighton, MA"
158,1,0,male,55.0,0,0,680,$50.00 ,C39,S,,,London / Birmingham
159,1,1,female,16.0,0,1,111361,$57.98 ,B18,C,4,,"Chicago, IL"
160,1,1,female,44.0,0,1,111361,$57.98 ,B18,C,4,,"Chicago, IL"
161,1,1,female,51.0,1,0,13502,$77.96 ,D11,S,10,,"Hudson, NY"
162,1,0,male,42.0,1,0,113789,$52.00 ,,S,,38.0,"New York, NY"
163,1,1,female,35.0,1,0,113789,$52.00 ,,S,8,,"New York, NY"
164,1,1,male,35.0,0,0,111426,$26.55 ,,C,15,,"Indianapolis, IN"
165,1,1,male,38.0,1,0,19943,$90.00 ,C93,S,D,,"New York, NY /  Stamford CT"
166,1,0,male,,0,0,PC 17600,$30.70 ,,C,14,,"New York, NY"
167,1,1,female,35.0,1,0,19943,$90.00 ,C93,S,D,,"New York, NY /  Stamford CT"
168,1,1,female,38.0,0,0,113572,$80.00 ,B28,,6,,
169,1,0,female,50.0,0,0,PC 17595,$28.71 ,C49,C,,,"Paris, France New York, NY"
170,1,1,male,49.0,0,0,112058,$0.00 ,B52 B54 B56,S,C,,Liverpool
171,1,0,male,46.0,0,0,694,$26.00 ,,S,,80.0,"Bennington, VT"
172,1,0,male,50.0,0,0,113044,$26.00 ,E60,S,,,London
173,1,0,male,32.5,0,0,113503,$211.50 ,C132,C,,45.0,
174,1,0,male,58.0,0,0,11771,$29.70 ,B37,C,,258.0,"Buffalo, NY"
175,1,0,male,41.0,1,0,17464,$51.86 ,D21,S,,,"Southington / Noank, CT"
176,1,1,female,,1,0,17464,$51.86 ,D21,S,8,,"Southington / Noank, CT"
177,1,1,male,42.0,1,0,11753,$52.55 ,D19,S,5,,"Boston, MA"
178,1,1,female,45.0,1,0,11753,$52.55 ,D19,S,5,,"Boston, MA"
179,1,0,male,,0,0,113028,$26.55 ,C124,S,,,"Portland, OR"
180,1,1,female,39.0,0,0,24160,$211.34 ,,S,2,,
181,1,1,female,49.0,0,0,17465,$25.93 ,D17,S,8,,"New York, NY"
182,1,1,female,30.0,0,0,PC 17761,$106.43 ,,C,2,,
183,1,1,male,35.0,0,0,PC 17755,$512.33 ,B101,C,3,,
184,1,0,male,,0,0,PC 17612,$27.72 ,,C,,,"Chicago, IL"
185,1,0,male,42.0,0,0,17475,$26.55 ,,S,,,"Stockholm, Sweden"
186,1,1,female,55.0,0,0,112377,$27.72 ,,C,6,,"Stockholm, Sweden"
187,1,1,female,16.0,0,1,PC 17592,$39.40 ,D28,S,9,,"Paris, France"
188,1,1,female,51.0,0,1,PC 17592,$39.40 ,D28,S,9,,"Paris, France"
189,1,0,male,29.0,0,0,113501,$30.00 ,D6,S,,126.0,"Springfield, MA"
190,1,1,female,21.0,0,0,13502,$77.96 ,D9,S,10,,"Hudson, NY"
191,1,0,male,30.0,0,0,113801,$45.50 ,,S,,,"London / New York, NY"
192,1,1,female,58.0,0,0,PC 17569,$146.52 ,B80,C,,,
193,1,1,female,15.0,0,1,24160,$211.34 ,B5,S,2,,"St Louis, MO"
194,1,0,male,30.0,0,0,110469,$26.00 ,C106,S,,,"Brockton, MA"
195,1,1,female,16.0,0,0,110152,$86.50 ,B79,S,8,,
196,1,1,male,,0,0,11774,$29.70 ,C47,C,7,,"Paris, France"
197,1,0,male,19.0,1,0,113773,$53.10 ,D30,S,,,"New York, NY"
198,1,1,female,18.0,1,0,113773,$53.10 ,D30,S,10,,"New York, NY"
199,1,1,female,24.0,0,0,PC 17482,$49.50 ,C90,C,6,,"Belgium  Montreal, PQ"
200,1,0,male,46.0,0,0,13050,$75.24 ,C6,C,,292.0,"Vancouver, BC"
201,1,0,male,54.0,0,0,17463,$51.86 ,E46,S,,175.0,"Dorchester, MA"
202,1,1,male,36.0,0,0,PC 17473,$26.29 ,E25,S,7,,"Philadelphia, PA"
203,1,0,male,28.0,1,0,PC 17604,$82.17 ,,C,,,"New York, NY"
204,1,1,female,,1,0,PC 17604,$82.17 ,,C,6,,"New York, NY"
205,1,0,male,65.0,0,0,13509,$26.55 ,E38,S,,249.0,"East Bridgewater, MA"
206,1,0,male,44.0,2,0,19928,$90.00 ,C78,Q,,230.0,"Fond du Lac, WI"
207,1,1,female,33.0,1,0,19928,$90.00 ,C78,Q,14,,"Green Bay, WI"
208,1,1,female,37.0,1,0,19928,$90.00 ,C78,Q,14,,"Fond du Lac, WI"
209,1,1,male,30.0,1,0,13236,$57.75 ,C78,C,11,,"New York, NY"
210,1,0,male,55.0,0,0,113787,$30.50 ,C30,S,,,"Montreal, PQ"
211,1,0,male,47.0,0,0,113796,$42.40 ,,S,,,"Washington, DC"
212,1,0,male,37.0,0,1,PC 17596,$29.70 ,C118,C,,,"Brooklyn, NY"
213,1,1,female,31.0,1,0,35273,$113.28 ,D36,C,6,,"Lexington, MA"
214,1,1,female,23.0,1,0,35273,$113.28 ,D36,C,6,,"Lexington, MA"
215,1,0,male,58.0,0,2,35273,$113.28 ,D48,C,,122.0,"Lexington, MA"
216,1,1,female,19.0,0,2,11752,$26.28 ,D47,S,5,,"New York, NY"
217,1,0,male,64.0,0,0,693,$26.00 ,,S,,263.0,"Isle of Wight, England"
218,1,1,female,39.0,0,0,PC 17758,$108.90 ,C105,C,8,,
219,1,1,male,,0,0,F.C. 12998,$25.74 ,,C,7,,"Paris, France"
220,1,1,female,22.0,0,1,113509,$61.98 ,B36,C,5,,"Providence, RI"
221,1,0,male,65.0,0,1,113509,$61.98 ,B30,C,,234.0,"Providence, RI"
222,1,0,male,28.5,0,0,PC 17562,$27.72 ,D43,C,,189.0,"?Havana, Cuba"
223,1,0,male,,0,0,112052,$0.00 ,,S,,,Belfast
224,1,0,male,45.5,0,0,113043,$28.50 ,C124,S,,166.0,"Surbiton Hill, Surrey"
225,1,0,male,23.0,0,0,12749,$93.50 ,B24,S,,,"Montreal, PQ"
226,1,0,male,29.0,1,0,113776,$66.60 ,C2,S,,,"Isleworth, England"
227,1,1,female,22.0,1,0,113776,$66.60 ,C2,S,8,,"Isleworth, England"
228,1,0,male,18.0,1,0,PC 17758,$108.90 ,C65,C,,,"Madrid, Spain"
229,1,1,female,17.0,1,0,PC 17758,$108.90 ,C65,C,8,,"Madrid, Spain"
230,1,1,female,30.0,0,0,12749,$93.50 ,B73,S,3,,
231,1,1,male,52.0,0,0,113786,$30.50 ,C104,S,6,,"Toronto, ON"
232,1,0,male,47.0,0,0,110465,$52.00 ,C110,S,,207.0,"Worcester, MA"
233,1,1,female,56.0,0,1,11767,$83.16 ,C50,C,7,,"Mt Airy, Philadelphia, PA"
234,1,0,male,38.0,0,0,19972,$0.00 ,,S,,,"Rotterdam, Netherlands"
235,1,1,male,,0,0,PC 17607,$39.60 ,,S,A,,"Paris /  New York, NY"
236,1,0,male,22.0,0,0,PC 17760,$135.63 ,,C,,232.0,
237,1,0,male,,0,0,PC 17757,$227.53 ,,C,,,
238,1,1,female,43.0,0,1,24160,$211.34 ,B3,S,2,,"St Louis, MO"
239,1,0,male,31.0,0,0,PC 17590,$50.50 ,A24,S,,,"Trenton, NJ"
240,1,1,male,45.0,0,0,111428,$26.55 ,,S,9,,"New York, NY"
241,1,0,male,,0,0,113767,$50.00 ,A32,S,,,"Seattle, WA"
242,1,1,female,33.0,0,0,PC 17613,$27.72 ,A11,C,11,,"Paris, France"
243,1,0,male,46.0,0,0,PC 17585,$79.20 ,,C,,16.0,"New York, NY"
244,1,0,male,36.0,0,0,13049,$40.13 ,A10,C,,,"Winnipeg, MB"
245,1,1,female,33.0,0,0,110152,$86.50 ,B77,S,8,,"London  Vancouver, BC"
246,1,0,male,55.0,1,0,PC 17603,$59.40 ,,C,,,"New York, NY"
247,1,1,female,54.0,1,0,PC 17603,$59.40 ,,C,6,,"New York, NY"
248,1,0,male,33.0,0,0,113790,$26.55 ,,S,,109.0,London
249,1,1,male,13.0,2,2,PC 17608,$262.38 ,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
250,1,1,female,18.0,2,2,PC 17608,$262.38 ,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
251,1,1,female,21.0,2,2,PC 17608,$262.38 ,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
252,1,0,male,61.0,1,3,PC 17608,$262.38 ,B57 B59 B63 B66,C,,,"Haverford, PA / Cooperstown, NY"
253,1,1,female,48.0,1,3,PC 17608,$262.38 ,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY"
254,1,1,male,,0,0,19988,$30.50 ,C106,S,3,,"Manchester, England"
255,1,1,female,24.0,0,0,PC 17477,$69.30 ,B35,C,9,,
256,1,1,male,,0,0,111163,$26.00 ,,S,1,,"New York, NY"
257,1,1,female,35.0,1,0,13236,$57.75 ,C28,C,11,,"New York, NY"
258,1,1,female,30.0,0,0,113798,$31.00 ,,C,4,,
259,1,1,male,34.0,0,0,113794,$26.55 ,,S,7,,"New York, NY"
260,1,1,female,40.0,0,0,PC 17582,$153.46 ,C125,S,3,,"New York, NY / Greenwich CT"
261,1,1,male,35.0,0,0,PC 17475,$26.29 ,E24,S,5,,"St Louis, MO"
262,1,0,male,50.0,1,0,13507,$55.90 ,E44,S,,,"Duluth, MN"
263,1,1,female,39.0,1,0,13507,$55.90 ,E44,S,11,,"Duluth, MN"
264,1,1,male,56.0,0,0,13213,$35.50 ,A26,C,3,,"Basel, Switzerland"
265,1,1,male,28.0,0,0,113788,$35.50 ,A6,S,7,,"New Britain, CT"
266,1,0,male,56.0,0,0,113792,$26.55 ,,S,,,"New York, NY"
267,1,0,male,56.0,0,0,17764,$30.70 ,A7,C,,,"St James, Long Island, NY"
268,1,0,male,24.0,1,0,13695,$60.00 ,C31,S,,,"Huntington, WV"
269,1,0,male,,0,0,113056,$26.00 ,A19,S,,,"Streatham, Surrey"
270,1,1,female,18.0,1,0,13695,$60.00 ,C31,S,6,,"Huntington, WV"
271,1,1,male,24.0,1,0,21228,$82.27 ,B45,S,7,,"Minneapolis, MN"
272,1,1,female,23.0,1,0,21228,$82.27 ,B45,S,7,,"Minneapolis, MN"
273,1,1,male,6.0,0,2,16966,$134.50 ,E34,C,3,,"Tuxedo Park, NY"
274,1,1,male,45.0,1,1,16966,$134.50 ,E34,C,3,,"Tuxedo Park, NY"
275,1,1,female,40.0,1,1,16966,$134.50 ,E34,C,3,,"Tuxedo Park, NY"
276,1,0,male,57.0,1,0,PC 17569,$146.52 ,B78,C,,,"Paris, France"
277,1,1,female,,1,0,PC 17569,$146.52 ,B78,C,6,,"Paris, France"
278,1,1,male,32.0,0,0,13214,$30.50 ,B50,C,3,,"Basel, Switzerland"
279,1,0,male,62.0,0,0,113514,$26.55 ,C87,S,,,"Wimbledon Park, London / Hayling Island, Hants"
280,1,1,male,54.0,1,0,11778,$55.44 ,C116,C,1,,"Newark, NJ"
281,1,1,female,43.0,1,0,11778,$55.44 ,C116,C,5,,"Newark, NJ"
282,1,1,female,52.0,1,0,36947,$78.27 ,D20,C,4,,"Haverford, PA"
283,1,0,male,,0,0,PC 17605,$27.72 ,,C,,,"Gallipolis, Ohio / ? Paris / New York"
284,1,1,female,62.0,0,0,113572,$80.00 ,B28,,6,,"Cincinatti, OH"
285,1,0,male,67.0,1,0,PC 17483,$221.78 ,C55 C57,S,,96.0,"New York, NY"
286,1,0,female,63.0,1,0,PC 17483,$221.78 ,C55 C57,S,,,"New York, NY"
287,1,0,male,61.0,0,0,36963,$32.32 ,D50,S,,46.0,"Haddenfield, NJ"
288,1,1,female,48.0,0,0,17466,$25.93 ,D17,S,8,,"Brooklyn, NY"
289,1,1,female,18.0,0,2,110413,$79.65 ,E68,S,8,,"New York, NY"
290,1,0,male,52.0,1,1,110413,$79.65 ,E67,S,,,"New York, NY"
291,1,1,female,39.0,1,1,110413,$79.65 ,E67,S,8,,"New York, NY"
292,1,1,male,48.0,1,0,19996,$52.00 ,C126,S,5 7,,"London /  East Orange, NJ"
293,1,1,female,,1,0,19996,$52.00 ,C126,S,5 7,,"London /  East Orange, NJ"
294,1,0,male,49.0,1,1,17421,$110.88 ,C68,C,,,"Haverford, PA"
295,1,1,male,17.0,0,2,17421,$110.88 ,C70,C,B,,"Haverford, PA"
296,1,1,female,39.0,1,1,17421,$110.88 ,C68,C,4,,"Haverford, PA"
297,1,1,female,,0,0,PC 17585,$79.20 ,,C,D,,"New York, NY"
298,1,1,male,31.0,0,0,2543,$28.54 ,C53,C,7,,"Albany, NY"
299,1,0,male,40.0,0,0,PC 17601,$27.72 ,,C,,,"Mexico City, Mexico"
300,1,0,male,61.0,0,0,111240,$33.50 ,B19,S,,245.0,"Brooklyn, NY"
301,1,0,male,47.0,0,0,36967,$34.02 ,D46,S,,,"East Orange, NJ"
302,1,1,female,35.0,0,0,PC 17755,$512.33 ,,C,3,,
303,1,0,male,64.0,1,0,110813,$75.25 ,D37,C,,,"Portland, OR"
304,1,1,female,60.0,1,0,110813,$75.25 ,D37,C,5,,"Portland, OR"
305,1,0,male,60.0,0,0,113800,$26.55 ,,S,,,"England Salt Lake City, Utah"
306,1,0,male,54.0,0,1,35281,$77.29 ,D26,S,,,"Brunswick, ME"
307,1,0,male,21.0,0,1,35281,$77.29 ,D26,S,,169.0,"Brunswick, ME"
308,1,1,female,55.0,0,0,PC 17760,$135.63 ,C32,C,8,,"New York, NY / Briarcliff Manor NY"
